0,1,2,3,4,5,6
10,20,30,40,50,60,70
0,0,0,0,0,0,0
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
10,20,30,40,50,60,70
